type_cl,num_runs,best_run_min,best_run_last,best_it_min,best_it_last,best_frob_norm_min,best_frob_norm_last,avg_frob_norm_min,avg_frob_norm_last
NCL,2,1,1,80,499,7.765043640191985,8.129556677188722,7.737343408237447,7.949096402625225
CL,2,1,1,139,499,7.690045892553905,8.34746653288644,7.674748761482695,8.056170028162876
ACL,2,0,0,167,499,7.780064108755657,8.563390876513257,7.75864537393119,8.443164474060591
SPCL,2,1,1,166,499,7.452169940396423,8.176021681748878,7.393367900271913,7.940822403026647
SPACL,2,0,0,275,499,7.862976596575794,7.99351271650659,7.663879888498806,7.769589309681158
