type_cl,num_runs,best_run_min,best_run_last,best_it_min,best_it_last,best_frob_norm_min,best_frob_norm_last,avg_frob_norm_min,avg_frob_norm_last
NCL,10,9,8,749,749,6.235896121275232,6.261160576030644,5.760806259916426,5.87878035235947
CL,10,0,1,619,749,6.1130763427952886,6.398712541670141,5.765090401234319,5.932068903468823
ACL,10,4,2,600,749,6.027719449164781,6.232607185192398,5.840475496553927,5.99096087917175
SPCL,10,1,1,749,749,6.742327256804538,6.742327256804538,6.033782713564141,6.178055110961782
SPACL,10,5,8,497,749,6.0131619123184645,6.262873476507008,5.830581282712677,6.007784203986958
