type_cl,num_runs,best_run_min,best_run_last,best_it_min,best_it_last,best_frob_norm_min,best_frob_norm_last,avg_frob_norm_min,avg_frob_norm_last
NCL,10,8,1,0,749,11.306899582113504,11.420625819174491,11.133413495008478,11.243709463034715
CL,10,1,5,419,749,11.2658397503505,11.535978660504735,11.044934854812071,11.219273882969748
ACL,10,0,1,121,749,11.258488675479244,11.539682701088315,11.001805551578489,11.303127952687044
SPCL,10,5,8,21,749,11.212214465920615,11.638751689545996,11.009395094647283,11.329053575205576
SPACL,10,0,3,347,749,11.178442788306132,11.469575857260375,11.073409783080322,11.211889929958854
