1.458423779826600042e-01,5.513912652814133564e-01,1.366398293024239097e-01,1.661265274335026743e-01
1.439119506362588896e-01,5.510586640958754501e-01,1.406816651925398842e-01,1.643477200753257483e-01
1.419631655937421133e-01,5.504540735605987223e-01,1.450728096022733116e-01,1.625099512433859084e-01
1.399884441259799939e-01,5.495382279597333941e-01,1.498515477390964801e-01,1.606217801751901320e-01
1.379812070897542542e-01,5.482623341169435838e-01,1.550600151151718675e-01,1.586964436781302945e-01
1.359362457646035582e-01,5.465682862252856378e-01,1.607427754524724250e-01,1.567526925576384067e-01
1.338501523254740366e-01,5.443894220311928933e-01,1.669447891013297047e-01,1.548156365420033653e-01
1.317218025925422920e-01,5.416520589740431157e-01,1.737086436050442606e-01,1.529174948283703872e-01
1.295528643756398424e-01,5.382780683892881557e-01,1.810709665950659686e-01,1.510981006400061166e-01
1.273482799997191495e-01,5.341887128748425972e-01,1.890580457244577794e-01,1.494049614009805294e-01
1.251166444828086255e-01,5.293098564103907444e-01,1.976808518188420960e-01,1.478926472879585896e-01
1.228703780867319434e-01,5.235784352216623638e-01,2.069298936826494684e-01,1.466212930089562105e-01
1.206255841394733574e-01,5.169497511923423216e-01,2.167705891633616710e-01,1.456540755048226776e-01
1.184015022617593837e-01,5.094047673259161080e-01,2.271400415598127109e-01,1.450536888525117973e-01
1.162195217252829371e-01,5.009562536255695031e-01,2.379461586732788403e-01,1.448780659758687195e-01
1.141018067975874961e-01,4.916525006816908627e-01,2.490698470920663654e-01,1.451758454286552202e-01
1.120696864419437611e-01,4.815775204305310919e-01,2.603705264234555394e-01,1.459822667040696076e-01
1.101420416415613418e-01,4.708472247046918691e-01,2.716945234943340948e-01,1.473162101594126805e-01
1.083339507107598937e-01,4.596018925594126947e-01,2.828852268331394915e-01,1.491789298966879063e-01
1.066558087827862433e-01,4.479960514604057753e-01,2.937934494433384058e-01,1.515546903134695755e-01
1.051130334024634183e-01,4.361874225707768615e-01,3.042864279081520240e-01,1.544131161186076961e-01
1.037063400140912361e-01,4.243266457653128154e-01,3.142542778638172662e-01,1.577127363567786822e-01
1.024324624463661543e-01,4.125491261569171897e-01,3.236133676786719926e-01,1.614050437180446496e-01
