type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,0,2,221,599,94.0,94.0,86.4,91.5,86.4,81.4,81.13000000000001,81.08
RAND,10,1,3,34,599,92.0,80.0,90.0,76.0,84.0,75.8,78.69000000000001,76.33000000000001
CL,10,9,9,596,599,84.0,84.0,80.10000000000001,80.4,74.6,73.2,72.78999999999999,73.36
ACL,10,7,7,408,599,96.0,90.0,85.8,87.4,89.6,80.6,83.67,80.78
SPCL,10,4,3,563,599,94.0,88.0,85.4,81.2,80.8,77.2,78.25,77.98
SPACL,10,2,3,201,599,100.0,92.0,89.5,88.0,98.4,82.2,89.74,81.83
FSPACL,10,1,1,321,599,100.0,100.0,92.4,93.8,98.6,98.0,90.67,91.7
