type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,0,0,1009,1999,93.0,93.0,84.5,86.3,88.6,87.1,83.47,83.36999999999999
CL,10,5,5,1720,1999,91.0,91.0,85.5,86.5,83.7,83.3,79.57,80.0
ACL,10,1,0,1646,1999,99.0,96.0,90.2,88.9,97.0,91.6,90.8,86.83000000000001
