type_cl,num_runs,best_run_min,best_run_last,best_it_min,best_it_last,best_uni_dist_min,best_uni_dist_last,avg_uni_dist_min,avg_uni_dist_last
NCL,10,0,3,2,1999,11.196200649317344,11.81747417680694,10.947574811550664,11.280681734782853
CL,10,4,4,585,1999,11.233708863733492,11.716777256644535,10.850528365072822,11.27657609433245
ACL,10,3,5,557,1999,11.16973161607251,11.694460504421166,11.002454407903798,11.322404360897597
