type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,8,9,457,499,96.0,94.0,87.7,84.9,85.2,82.8,81.1,80.39
CL,10,9,9,360,499,88.0,88.0,78.60000000000001,77.5,78.4,76.6,73.81,74.83
ACL,10,4,8,482,499,100.0,94.0,90.8,85.3,94.4,86.4,88.03,83.78999999999999
SPCL,10,3,9,480,499,84.0,84.0,76.9,79.3,79.8,76.8,76.13000000000001,75.52
SPACL,10,0,7,68,499,100.0,94.0,94.6,85.2,99.8,84.2,91.33,80.93
PCL,10,3,4,310,499,100.0,94.0,91.4,83.0,96.8,82.2,88.31,80.22999999999999
PACL,10,4,1,481,499,86.0,82.0,79.8,78.9,77.4,74.6,75.45000000000002,75.47
