type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,0,0,88,499,100.0,100.0,87.3,85.8,98.95833333333331,98.125,83.88000000000001,84.87
CL,10,0,0,421,499,100.0,100.0,82.8,83.0,97.08333333333331,96.04166666666666,80.71000000000001,82.03
ACL,10,0,0,284,499,100.0,100.0,88.8,88.5,100.0,97.91666666666666,86.85,85.59
SPCL,10,6,6,427,499,100.0,100.0,83.7,88.5,97.91666666666666,97.5,81.2,83.96000000000001
SPACL,10,0,0,36,499,100.0,100.0,88.60000000000001,87.4,100.0,97.49999999999999,83.81000000000002,86.08000000000001
