type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,7,8,272,599,84.0,80.0,76.0,76.9,76.8,70.6,69.19999999999999,67.19
CL,10,7,7,138,599,84.0,82.0,68.4,71.7,75.4,72.4,67.57,68.01000000000002
ACL,10,7,3,550,599,90.0,84.0,71.10000000000001,72.0,82.0,76.0,70.47,69.8
RAND,10,5,0,56,599,82.0,76.0,76.10000000000001,68.8,75.6,69.0,68.15,65.27000000000001
SPCL,10,7,7,548,599,88.0,82.0,73.9,70.60000000000001,75.8,70.8,69.02,66.86999999999999
SPACL,10,7,3,49,599,96.0,84.0,73.3,76.10000000000001,87.6,73.2,73.21000000000001,68.47999999999999
FSPACL,10,1,1,539,599,94.0,90.0,81.60000000000001,81.60000000000001,90.4,86.0,77.71000000000001,75.42
