type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,7,7,542,599,98.0,98.0,90.6,91.8,85.8,83.0,80.74,80.48
CL,10,3,3,490,599,96.0,94.0,83.7,83.2,83.0,81.0,78.25,78.06
ACL,10,3,3,218,599,100.0,100.0,88.8,91.4,96.4,84.0,89.35,80.67
RAND,10,3,3,207,599,96.0,96.0,84.2,84.8,85.6,82.0,81.07000000000001,80.03
SPCL,10,1,1,544,599,96.0,96.0,86.4,87.8,82.2,80.4,77.39,78.19000000000001
SPACL,10,0,2,83,599,100.0,88.0,88.7,90.0,99.4,78.6,89.97999999999999,78.22
FSPACL,10,0,1,85,599,100.0,100.0,88.0,96.5,100.0,99.2,90.19999999999999,92.55
