type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,2,1,163,599,76.0,74.0,72.9,72.10000000000001,72.8,69.8,71.68,71.92999999999999
RAND,10,2,2,540,599,86.0,76.0,80.5,71.2,75.6,69.8,72.41000000000001,70.89000000000001
PCL,10,5,0,577,599,90.0,80.0,86.2,83.7,74.8,69.6,71.67,69.6
PACL,10,1,1,86,599,80.0,74.0,73.60000000000001,73.4,71.0,68.4,71.24,70.05
