type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,1,1,377,599,92.0,92.0,80.60000000000001,81.60000000000001,77.8,69.4,73.49,68.35
RAND,10,2,1,165,599,96.0,86.0,90.0,74.2,78.4,67.2,75.71000000000001,65.89
PCL,10,3,4,520,599,88.0,78.0,81.3,80.8,74.4,64.8,70.48,63.760000000000005
PACL,10,5,6,407,599,86.0,86.0,79.10000000000001,79.3,79.6,70.8,76.50000000000001,70.86
