type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,7,7,283,599,78.0,74.0,77.60000000000001,74.2,72.4,69.0,72.31,71.01
RAND,10,1,1,380,599,96.0,90.0,86.5,80.5,80.8,73.8,76.65,72.72
PCL,10,2,2,582,599,84.0,84.0,85.0,88.2,74.8,68.4,68.09,66.28999999999999
PACL,10,1,1,590,599,74.0,74.0,72.0,71.4,71.0,68.0,71.82000000000001,70.21000000000001
