type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,3,0,430,599,94.0,86.0,94.0,80.7,84.8,77.6,81.46,76.16
CL,10,4,4,575,599,76.0,76.0,67.7,67.3,71.6,68.8,66.49,65.53999999999999
ACL,10,3,7,593,599,100.0,94.0,97.3,89.0,94.2,78.2,89.30999999999999,76.9
