type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,1,0,0,93,599,72.0,70.0,72.4,73.10000000000001,72.0,70.0,72.4,73.10000000000001
CL,1,0,0,553,599,76.0,70.0,74.0,73.0,76.0,70.0,74.0,73.0
ACL,1,0,0,546,599,94.0,94.0,86.3,87.3,94.0,94.0,86.3,87.3
RAND,1,0,0,380,599,94.0,90.0,85.5,84.2,94.0,90.0,85.5,84.2
SPCL,1,0,0,496,599,72.0,70.0,72.8,73.5,72.0,70.0,72.8,73.5
SPACL,1,0,0,55,599,98.0,70.0,92.4,72.2,98.0,70.0,92.4,72.2
FSPACL,1,0,0,61,599,100.0,100.0,92.5,92.5,100.0,100.0,92.5,92.5
