type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,5,0,163,499,97.91666666666666,91.66666666666666,90.5,86.8,91.45833333333331,88.125,83.64000000000001,82.16999999999999
CL,10,2,3,300,499,93.75,89.58333333333333,85.3,89.5,88.54166666666666,87.29166666666666,80.4,82.15
ACL,10,3,4,251,499,100.0,93.75,93.8,90.2,95.83333333333331,89.99999999999999,89.78,85.01
SPCL,10,1,1,457,499,93.75,93.75,85.4,87.5,89.375,88.33333333333333,81.57,83.15
SPACL,10,0,1,55,499,100.0,85.41666666666666,90.10000000000001,79.8,98.54166666666666,90.0,92.45,84.34
