type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,0,1,64,499,100.0,87.5,94.3,80.3,93.125,89.58333333333333,81.62,82.89
CL,10,9,9,418,499,93.75,93.75,85.2,85.10000000000001,85.41666666666666,84.37499999999999,79.05999999999999,78.09
ACL,10,1,4,378,499,100.0,95.83333333333331,87.8,91.3,95.0,93.33333333333334,81.85000000000001,83.4
SPCL,10,1,1,479,499,91.66666666666666,91.66666666666666,80.7,81.3,87.08333333333333,86.45833333333333,80.00999999999999,81.0
SPACL,10,0,9,23,499,100.0,91.66666666666666,82.4,74.8,99.79166666666666,90.62499999999999,85.42999999999999,77.83000000000001
