type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,3,3,197,499,97.91666666666666,95.83333333333331,93.3,94.3,94.16666666666666,89.99999999999999,88.36,88.74
CL,10,7,7,462,499,93.75,93.75,89.0,88.7,87.91666666666666,85.20833333333333,86.0,82.86
ACL,10,8,2,366,499,100.0,93.75,94.0,93.0,91.45833333333331,89.37499999999999,85.5,88.17999999999999
SPCL,10,6,6,471,499,95.83333333333331,95.83333333333331,92.9,94.5,90.0,86.66666666666666,86.53,82.14
SPACL,10,1,3,35,499,100.0,85.41666666666666,87.60000000000001,88.4,98.33333333333333,90.0,90.1,89.76
