type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,8,8,276,499,100.0,91.66666666666666,93.0,85.8,93.33333333333331,85.625,88.07000000000001,84.16
CL,10,2,9,13,499,91.66666666666666,79.16666666666666,81.8,78.2,84.16666666666666,82.08333333333333,79.88000000000001,80.97
ACL,10,4,1,373,499,100.0,93.75,91.2,90.1,93.12499999999996,88.33333333333334,86.96,85.50000000000001
SPCL,10,5,5,488,499,89.58333333333333,89.58333333333333,85.3,87.0,83.74999999999999,82.08333333333333,79.16,80.41000000000001
SPACL,10,0,1,94,499,100.0,72.91666666666666,92.5,73.60000000000001,99.79166666666666,83.95833333333333,90.84,82.12000000000002
