type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,9,1,71,499,95.83333333333331,91.66666666666666,90.8,90.1,90.625,88.74999999999999,83.61999999999999,83.93
CL,10,5,5,321,499,97.91666666666666,95.83333333333331,91.8,96.1,90.41666666666666,89.58333333333333,83.36,84.44
ACL,10,1,4,159,499,100.0,93.75,93.8,91.5,94.58333333333331,91.45833333333334,87.63999999999999,86.66
SPCL,10,1,1,422,499,93.75,91.66666666666666,83.10000000000001,87.3,89.58333333333333,88.75,82.41,83.94
SPACL,10,0,4,26,499,100.0,87.5,94.60000000000001,80.0,98.95833333333333,88.75,93.53999999999999,83.1
