type_cl,num_runs,best_run_min,best_run_last,best_it_min,best_it_last,best_frob_norm_min,best_frob_norm_last,avg_frob_norm_min,avg_frob_norm_last
NCL,10,4,9,222,749,1.997521395885022,1.9999884926527345,1.99500946974956,1.9992151840119832
CL,10,7,1,477,749,1.9967713793721849,1.999994678667325,1.993911682583144,1.998900540086867
ACL,10,9,4,23,749,1.996965325854385,1.9999908837131275,1.9939710095145329,1.9991199866033755
SPCL,10,1,1,219,749,1.996170265616105,1.9999976045602696,1.992801289796994,1.9992660474521056
SPACL,10,2,5,519,749,1.9981061619481493,1.999999808940231,1.9957520556944437,1.999742382569431
