type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,2,0,0,4,4,33.33333333333333,33.33333333333333,35.6,35.6,23.95833333333333,23.95833333333333,28.3,30.35
CL,2,0,0,4,4,39.58333333333333,39.58333333333333,38.5,38.5,32.291666666666664,32.291666666666664,30.65,31.65
ACL,2,1,1,4,4,31.25,31.25,28.9,28.9,28.125,28.125,26.5,26.5
SPCL,2,0,0,4,4,37.5,37.5,39.3,39.3,29.166666666666664,29.166666666666664,31.25,31.450000000000003
SPACL,2,1,1,4,4,47.916666666666664,47.916666666666664,52.2,52.2,43.74999999999999,39.58333333333333,44.55,45.7
