type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,2,1,1,4,4,72.91666666666666,72.91666666666666,64.5,64.5,65.625,63.54166666666666,59.4,58.75
CL,2,1,1,4,4,72.91666666666666,72.91666666666666,72.10000000000001,72.10000000000001,57.29166666666666,57.29166666666666,57.8,59.25
ACL,2,0,0,4,4,33.33333333333333,33.33333333333333,28.0,28.0,22.916666666666664,22.916666666666664,21.05,20.75
SPCL,2,0,0,3,4,47.91666666666666,47.91666666666666,45.5,47.2,47.91666666666666,47.91666666666666,45.65,46.5
SPACL,2,0,0,1,4,27.083333333333332,18.75,29.7,19.5,21.874999999999996,15.625,22.6,17.0
