type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,3,3,64,599,76.0,72.0,69.9,74.10000000000001,71.0,68.4,69.57000000000001,71.01
CL,10,0,1,440,599,72.0,70.0,69.5,69.3,70.0,67.0,70.61,70.24000000000001
ACL,10,7,0,382,599,96.0,80.0,89.2,74.2,81.2,71.2,77.27000000000001,72.62
RAND,10,0,3,122,599,72.0,72.0,72.60000000000001,73.4,70.2,68.2,71.31,71.37
