type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,1,1,446,599,76.0,76.0,71.60000000000001,70.8,72.4,70.8,70.30999999999999,71.83
CL,10,1,9,513,599,74.0,74.0,66.1,70.7,70.8,69.0,70.05999999999999,71.16
ACL,10,1,3,580,599,94.0,86.0,87.4,81.7,77.8,71.0,70.73,69.73
RAND,10,1,1,579,599,84.0,80.0,75.7,74.60000000000001,77.0,73.0,73.79,74.13000000000001
