type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,8,8,167,599,82.0,76.0,76.9,71.7,73.8,70.2,72.15,70.15
CL,10,1,5,561,599,74.0,72.0,71.7,72.3,70.8,69.0,70.3,70.64000000000001
ACL,10,4,8,493,599,96.0,92.0,88.60000000000001,80.2,85.8,73.8,80.14,70.96000000000001
RAND,10,4,5,256,599,94.0,88.0,84.10000000000001,85.5,76.6,73.6,74.73,74.84
