type_cl,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,4,4,163,599,80.0,76.0,77.10000000000001,76.3,72.2,70.0,72.87,72.16000000000001
CL,10,0,1,589,599,72.0,70.0,73.0,66.4,68.6,66.0,69.41,68.33000000000001
ACL,10,0,0,581,599,94.0,92.0,86.60000000000001,89.4,77.8,70.0,72.89,68.23
RAND,10,7,7,507,599,90.0,86.0,86.4,86.10000000000001,76.0,72.8,74.80000000000001,75.1
