(0.34663531783502144-0.9379999767747196j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(0.45018649515885684+0.3534256254689592j),(0.3001635469775059+0.21408418077328573j),0j,(0.43029371818069306+0.17023937697826383j),0j,0j,0j,(0.34280299796936925-0.3076872619612407j),0j,0j,0j,0j,0j,0j,0j,(-0.11491749721100884-0.2725996472591995j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.09671780154068312+0.11533363555913985j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(0.30337937821898425+0.21387155657824966j),(0.4395567029395291+0.19265550284178018j),0j,(-0.02163426533841406-0.35755715709882135j),0j,0j,0j,(-0.20708812218119854+0.37578040530832035j),0j,0j,0j,0j,0j,0j,0j,(0.4307563241933673+0.215440240458296j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.11491749721100793-0.2725996472591988j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,(0.2832848141225659+0.6477106024600131j),0j,(0.359905006341397+0.2414111701251509j),(0.37938954438298883+0.2099536302538541j),0j,0j,(0.1215072160255502+0.011151768005830249j),(0.0860233832813137+0.01567681145350862j),0j,(0.12158909532386615-0.15651078273500543j),0j,0j,0j,0j,(0.05125603976696628+0.07251805023879115j),(0.04054129159297475+0.07152763286438678j),0j,(0.059664774137136424-0.026501106347436888j),0j,0j,0j,(-0.03534880825689794-0.020399307942123617j),0j,0j,0j,0j,0j,0j,0j,0j,(0.038861723992674194-0.11327078385681373j),(0.04225675738234213-0.08634605245590392j),0j,(-0.05307805199248413-0.09769861697908414j),0j,0j,0j,(-0.06847991609675913+0.029228927224513125j),0j,0j,0j,0j,0j,0j,0j,(0.02071624640907776+0.009397054585848117j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(0.45353403577322066+0.149427655472j),(-0.054065179533315244-0.35005760462621544j),0j,(-0.18313113519745444+0.43186587816322075j),0j,0j,0j,(0.09303857017047229+0.14673721098879558j),0j,0j,0j,0j,0j,0j,0j,(-0.20708812218119846+0.3757804053083203j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.34280299796936947-0.3076872619612389j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,(0.36381994199050194+0.236141094720781j),0j,(-0.30227901478550556+0.1500540584287844j),(-0.13078197677274495-0.061455158472808316j),0j,0j,(0.13905833235302+0.30780482800478387j),(0.2811876798552924+0.06643430713247078j),0j,(-0.03687479289768428+0.22530841201068016j),0j,0j,0j,0j,(0.05244792488983313-0.24285928172377808j),(0.057240480085462335-0.34824453682680434j),0j,(-0.19667542998898602-0.08013069996170284j),0j,0j,0j,(0.04667617334476615+0.031729876522008815j),0j,0j,0j,0j,0j,0j,0j,0j,(0.03297351255937504+0.14823802653106397j),(-0.10602419357646899+0.11742790766325334j),0j,(0.19187277737754949+0.21183464280598424j),0j,0j,0j,(0.13766264085254765-0.19639854531439624j),0j,0j,0j,0j,0j,0j,0j,(-0.06847991609675894+0.02922892722451298j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,(0.38383261430126664+0.20437736448283053j),0j,(-0.12404755813830962-0.0491676191693422j),(-0.28173247595277745-0.16334617387218242j),0j,0j,(-0.2983517357571998+0.06899138112411317j),(-0.2433563578186205+0.1264411462351606j),0j,(0.006579155332075112+0.2926304710795249j),0j,0j,0j,0j,(-0.20796243089423805+0.1896754212451936j),(-0.12154553782353962+0.2547602822784763j),0j,(0.14241618831806585+0.17448826229597808j),0j,0j,0j,(0.07881901781710016-0.07452628799508089j),0j,0j,0j,0j,0j,0j,0j,0j,(0.2901581233170741+0.06486320158224237j),(0.2975013234429789-0.10855778437721098j),0j,(-0.03659667826093972-0.12690647187216644j),0j,0j,0j,(0.04667617334476626+0.031729876522008725j),0j,0j,0j,0j,0j,0j,0j,(-0.035348808256898095-0.020399307942123565j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,(0.4030251784401172+0.6823090394496982j),0j,0j,0j,(0.13127938322452545+0.363837135813088j),0j,(0.04213177419698938+0.056948673290571454j),(0.2759734172986736+0.011769528370649015j),0j,0j,0j,0j,(0.04725658843432769+0.045815763945694234j),0j,(-0.004431070333193282-0.014925725616222242j),(0.06781644919905527-0.053777705308242114j),0j,0j,(0.04171009454957354+0.012560616258026382j),(0.054013698208775364-0.01969170980316456j),0j,(-0.033065006728623426-0.01772408344478861j),0j,0j,0j,0j,0j,0j,(0.2785670156151036+0.01968776146997029j),0j,(0.07062010939495934-0.047318012246507814j),(0.07016551344444062-0.1307924152732903j),0j,0j,(0.05659841828127118-0.01720715644604021j),(0.04569142849088867-0.047486244304043475j),0j,(-0.04110274565005351-0.015987530754592572j),0j,0j,0j,0j,(-0.03335146911919199-0.019517042243019946j),(-0.04301452789748325-0.016044434477569716j),0j,(-0.016898836395663558+0.03720113110859841j),0j,0j,0j,(0.010311872035422207-0.003485464077050035j),0j,0j,0j,0j,0j,0j,0j
0j,(0.3024031889647994-0.34672725128956267j),(-0.15222637321031654+0.4211429905245961j),0j,(0.08548554980565314+0.1341492352318641j),0j,0j,0j,(-0.18313113519745347+0.4318658781632196j),0j,0j,0j,0j,0j,0j,0j,(-0.021634265338413453-0.3575571570988202j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.43029371818069134+0.17023937697826386j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,(0.11486887971873762+0.01201653133053458j),0j,(0.1604111132468564+0.27782991287369474j),(-0.3062943466725995+0.08996047959804199j),0j,0j,(0.1927172875898768-0.1318886846614386j),(-0.2606978908085476-0.11322450082699154j),0j,(-0.09511123786890446+0.19027312525032913j),0j,0j,0j,0j,(0.36785535066391695-0.1672552807999779j),(0.021784488618380532+0.07383279478872333j),0j,(0.36032386028322266+0.08028360018411264j),0j,0j,0j,(-0.036596678260939854-0.12690647187216691j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.32501887352479525+0.15991645955640574j),(-0.037100959240617265+0.20585001492708205j),0j,(-0.07856122441508132+0.05601015678721645j),0j,0j,0j,(0.19187277737754968+0.2118346428059846j),0j,0j,0j,0j,0j,0j,0j,(-0.053078051992484075-0.09769861697908419j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
