type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,5,4,4,146,999,94.0,94.0,85.7,85.0,87.4,85.0,80.30000000000001,80.32000000000001
CL,5,4,4,826,999,93.0,90.0,84.3,84.9,80.2,79.2,76.06,75.64000000000001
ACL,5,1,3,507,999,99.0,84.0,91.1,80.2,93.4,85.2,89.46,82.5
SPCL,5,1,1,818,999,97.0,97.0,86.3,86.60000000000001,87.6,86.2,81.38,81.08
SPACL,5,1,3,38,999,99.0,86.0,88.60000000000001,78.8,98.0,85.6,90.02,80.96000000000001
