type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,1,0,0,544,999,88.0,87.0,87.10000000000001,84.10000000000001,88.0,87.0,87.10000000000001,84.10000000000001
NCL,2,0,0,544,999,88.0,87.0,87.10000000000001,84.10000000000001,84.5,83.5,81.75,80.30000000000001
NCL,3,0,0,544,999,88.0,87.0,87.10000000000001,84.10000000000001,84.66666666666667,82.0,81.63333333333334,79.2
NCL,4,0,0,544,999,88.0,87.0,87.10000000000001,84.10000000000001,84.0,81.75,80.725,78.55000000000001
NCL,5,0,0,544,999,88.0,87.0,87.10000000000001,84.10000000000001,82.8,80.8,79.1,77.48
NCL,6,0,0,544,999,88.0,87.0,87.10000000000001,84.10000000000001,82.0,80.33333333333333,78.18333333333334,76.91666666666667
NCL,7,0,0,544,999,88.0,87.0,87.10000000000001,84.10000000000001,82.57142857142857,81.14285714285714,78.98571428571428,77.97142857142858
NCL,8,7,7,843,999,92.0,90.0,86.10000000000001,86.4,83.75,82.25,79.875,79.025
NCL,9,7,7,843,999,92.0,90.0,86.10000000000001,86.4,83.66666666666667,82.33333333333333,79.76666666666667,79.0888888888889
NCL,10,7,7,843,999,92.0,90.0,86.10000000000001,86.4,83.1,81.9,79.1,78.68
