type_cl,num_runs,best_run_min,best_run_last,best_it_min,best_it_last,best_frob_norm_min,best_frob_norm_last,avg_frob_norm_min,avg_frob_norm_last
NCL,1,0,0,0,6,1.803328584261808,1.8092777845582249,1.803328584261808,1.8092777845582249
CL,1,0,0,0,6,3.1938891307556063,3.2333641288751576,3.1938891307556063,3.2333641288751576
ACL,1,0,0,0,6,3.224985657414771,3.2667131302529406,3.224985657414771,3.2667131302529406
SPCL,1,0,0,6,6,2.608842678129496,2.608842678129496,2.608842678129496,2.608842678129496
SPACL,1,0,0,6,6,2.4727626667085425,2.4727626667085425,2.4727626667085425,2.4727626667085425
