type_cl,num_runs,best_run_min,best_run_last,best_it_min,best_it_last,best_uni_dist_min,best_uni_dist_last,avg_uni_dist_min,avg_uni_dist_last
NCL,10,2,2,85,1999,11.103068329882518,11.611395892779395,10.89046021259665,11.150169148155785
CL,10,2,2,781,1999,11.166989690351937,11.636100894202286,10.976395783778017,11.268266413994937
ACL,10,1,9,662,1999,11.14794728266314,11.760295983648238,11.014290859730743,11.346594728210041
