type_cl,num_runs,best_run_min,best_run_last,best_it_min,best_it_last,best_uni_dist_min,best_uni_dist_last,avg_uni_dist_min,avg_uni_dist_last
NCL,2,1,0,816,1999,10.874559310857569,11.200795222939536,10.773001373228754,11.048938606755067
CL,2,0,1,196,1999,11.023308281424862,11.404196403174344,11.01826654553063,11.264724762083269
ACL,2,0,1,142,1999,11.112677000137277,11.610008050392453,11.079725480204448,11.515265464116204
