type_cl,num_runs,best_run_min,best_run_last,best_it_min,best_it_last,best_uni_dist_min,best_uni_dist_last,avg_uni_dist_min,avg_uni_dist_last
NCL,2,1,0,390,1999,11.100362793624948,11.561679809999406,11.018849762506155,11.412955431169635
CL,2,1,1,130,1999,11.034951998397563,11.254772328085874,10.915226140536394,11.168260416277192
ACL,2,0,1,1305,1999,11.03166999058986,11.463041212658348,10.99205836904187,11.324930592997504
