type_cl,num_runs,best_run_min,best_run_last,best_it_min,best_it_last,best_uni_dist_min,best_uni_dist_last,avg_uni_dist_min,avg_uni_dist_last
NCL,10,8,8,53,1999,11.307350094455266,11.611994328101495,11.118115453339469,11.432521844157076
CL,10,1,0,85,1999,11.209190584959462,11.45734371232131,11.002062852091182,11.261304555690511
ACL,10,6,4,64,1999,11.171009009815148,11.855180630698966,11.082617400951458,11.325900109823408
