type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,3,0,0,7,9,90.0,90.0,100.0,100.0,83.33333333333333,80.0,66.66666666666667,66.66666666666667
CL,3,1,2,5,9,70.0,60.0,100.0,100.0,66.66666666666667,63.333333333333336,66.66666666666667,100.0
ACL,3,0,0,8,9,90.0,70.0,100.0,100.0,70.0,63.333333333333336,83.33333333333333,83.33333333333333
SPCL,3,2,2,9,9,90.0,90.0,100.0,100.0,73.33333333333333,73.33333333333333,100.0,100.0
SPACL,3,1,1,8,9,90.0,90.0,100.0,100.0,70.0,66.66666666666667,66.66666666666667,33.333333333333336
