type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,0,0,307,499,97.91666666666666,97.91666666666666,87.7,87.3,96.45833333333331,95.41666666666666,85.77,86.45000000000002
CL,10,7,2,381,499,97.91666666666666,95.83333333333331,87.4,88.3,92.5,91.66666666666666,82.74,83.78999999999999
ACL,10,1,8,164,499,100.0,97.91666666666666,89.9,85.8,97.91666666666666,94.79166666666666,87.16,86.84
SPCL,10,2,2,380,499,100.0,97.91666666666666,86.2,90.3,96.66666666666666,95.41666666666666,85.94,86.78999999999999
SPACL,10,0,9,47,499,100.0,95.83333333333333,89.60000000000001,86.9,99.79166666666666,93.75,87.55,86.11
