type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,0,9,277,499,93.75,91.66666666666666,85.10000000000001,89.2,88.33333333333334,86.04166666666666,83.17,84.12
CL,10,8,8,498,499,91.66666666666666,91.66666666666666,83.7,83.7,83.74999999999999,83.54166666666666,79.73,81.57
ACL,10,5,2,165,499,97.91666666666666,85.41666666666666,89.4,84.60000000000001,94.79166666666666,85.83333333333333,85.16999999999999,82.91
SPCL,10,8,9,385,499,93.75,91.66666666666666,85.8,86.4,87.08333333333333,84.99999999999999,81.05,81.97
SPACL,10,0,2,119,499,100.0,77.08333333333333,93.4,78.0,98.95833333333333,83.33333333333333,88.13,80.74000000000001
