type_cv,num_runs,best_run_max,best_run_last,best_it_max,best_it_last,best_acc_train_max,best_acc_train_last,best_acc_val_max,best_acc_val_last,avg_acc_train_max,avg_acc_train_last,avg_acc_val_max,avg_acc_val_last
NCL,10,8,8,339,499,100.0,100.0,93.6,94.5,93.75,87.08333333333333,87.02000000000001,85.8
CL,10,7,3,383,499,91.66666666666666,87.5,83.5,82.8,83.54166666666666,82.29166666666666,78.66999999999999,80.80000000000001
ACL,10,0,3,337,499,97.91666666666666,93.75,91.7,82.5,94.58333333333331,88.74999999999999,88.78,84.94
SPCL,10,1,1,480,499,95.83333333333331,91.66666666666666,84.4,86.9,85.62499999999997,84.16666666666666,81.34,81.7
SPACL,10,0,2,154,499,100.0,89.58333333333333,88.2,83.9,99.375,85.0,91.08,81.87
