num_iters,num_runs,cl_types,nqubits,error_type,error_prob,batch_size,train_size,cl_batch_ratios,cl_iter_ratios,optimizer,loss_type,initialization,max_weight_init,stepsize,key
200,10,['NCL'],8,DepolarizingChannel,0.00010000000000000009,36,36,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.25, 0.25, 0.5]",Adam,fidelity,gaussian,6.283185307179586,0.01,2024-03-01 21-50-07
200,10,['NCL'],8,DepolarizingChannel,0.0002154434690031884,36,36,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.25, 0.25, 0.5]",Adam,fidelity,gaussian,6.283185307179586,0.01,2024-03-01 21-50-07
200,10,['NCL'],8,DepolarizingChannel,0.00046415888336127795,36,36,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.25, 0.25, 0.5]",Adam,fidelity,gaussian,6.283185307179586,0.01,2024-03-01 21-50-07
200,10,['NCL'],8,DepolarizingChannel,0.0010000000000000002,36,36,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.25, 0.25, 0.5]",Adam,fidelity,gaussian,6.283185307179586,0.01,2024-03-01 21-50-07
200,10,['NCL'],8,DepolarizingChannel,0.0021544346900318843,36,36,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.25, 0.25, 0.5]",Adam,fidelity,gaussian,6.283185307179586,0.01,2024-03-01 21-50-07
200,10,['NCL'],8,DepolarizingChannel,0.004641588833612781,36,36,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.25, 0.25, 0.5]",Adam,fidelity,gaussian,6.283185307179586,0.01,2024-03-01 21-50-07
200,10,['NCL'],8,DepolarizingChannel,0.010000000000000004,36,36,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.25, 0.25, 0.5]",Adam,fidelity,gaussian,6.283185307179586,0.01,2024-03-01 21-50-07
200,10,['NCL'],8,DepolarizingChannel,0.02154434690031885,36,36,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.25, 0.25, 0.5]",Adam,fidelity,gaussian,6.283185307179586,0.01,2024-03-01 21-50-07
200,10,['NCL'],8,DepolarizingChannel,0.046415888336127815,36,36,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.25, 0.25, 0.5]",Adam,fidelity,gaussian,6.283185307179586,0.01,2024-03-01 21-50-07
200,10,['NCL'],8,DepolarizingChannel,0.10000000000000006,36,36,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.25, 0.25, 0.5]",Adam,fidelity,gaussian,6.283185307179586,0.01,2024-03-01 21-50-07
